fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,1.523,1.46,1.386,1.603,1.895,2.314,2.618,2.843,3.299,2.406,2.835,3.576,3.68,3.575,3.437,2.52,2.25,2.528,2.813,2.691,2.258,3.1,4.059,3.635
01001,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01003,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01005,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01007,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01009,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01011,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01013,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01015,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01017,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01019,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01021,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01023,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01025,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01027,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01029,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01031,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01033,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01035,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01037,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01039,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01041,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01043,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01045,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01047,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01049,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01051,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01053,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01055,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01057,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01059,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01061,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01063,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01065,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01067,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01069,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01071,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01073,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01075,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01077,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01079,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01081,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01083,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01085,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01087,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01089,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01091,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01093,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01095,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01097,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01099,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
