fips,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,5.36,5.52,5.79,6.06,6.25,6.39,6.54,6.78,7.35,7.47,7.77,8.1,8.45,8.81,9.08,9.23,9.5,9.87,10.23,10.6,10.83,10.95,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01001,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01003,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01005,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01007,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01009,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01011,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01013,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01015,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01017,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01019,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01021,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01023,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01025,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01027,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01029,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01031,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01033,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01035,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01037,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01039,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01041,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01043,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01045,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01047,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01049,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01051,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01053,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01055,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01057,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01059,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
01061,5.36,5.52,5.79,5.95,5.53,5.87,5.53,5.49,6.17,6.2,7.19,7.02,7.61,7.92,8.0,7.85,8.89,8.98,10.23,9.21,9.69,10.01,11.07,11.51,11.87,12.07,12.54,12.98,13.32,14.17,14.91,15.49,16.38,17.56,18.53,19.1
