fips,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.74,0.73,0.74,0.77,0.82,0.88,0.94,1.07,1.35,1.64,2.04,2.23,2.73,3.39,4.0,4.82,5.59,5.55,5.5,5.08,4.77,4.63,4.74,4.83,4.81,4.88,5.22,5.44,5.05,5.4,5.8,5.48,5.33,6.59,8.43,6.63,8.4,9.43,11.34,12.0,11.34,12.23,10.06,9.47,8.91,8.1,8.08,8.9,7.91,7.28,7.88,7.79,7.61,7.48,8.79,11.32,10.92
01001,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01003,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01005,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01007,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01009,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01011,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01013,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01015,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01017,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01019,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01021,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01023,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01025,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
