fips,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,1.04,1.04,1.05,1.09,1.15,1.21,1.29,1.43,1.71,1.98,2.35,2.56,2.98,3.68,4.29,5.17,6.06,6.12,6.12,5.83,5.54,5.47,5.64,5.8,5.82,5.89,6.16,6.41,6.06,6.34,6.94,6.82,6.69,7.76,9.63,7.89,9.63,10.75,12.7,13.73,13.08,13.89,12.14,11.39,11.03,10.65,10.32,10.97,10.38,10.05,10.91,10.5,10.51,10.78,12.18,14.75,15.23
01001,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01003,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01005,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01007,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01009,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01011,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01013,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01015,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01017,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01019,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01021,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01023,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01025,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01027,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01029,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01031,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01033,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01035,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01037,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01039,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01041,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01043,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01045,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01047,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01049,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01051,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01053,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
01055,1.13,1.1,1.09,1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.01,15.72,17.36,20.45
