fips,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
01001,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01003,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01005,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01007,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01009,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01011,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01013,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01015,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01017,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01019,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01021,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01023,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01025,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01027,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01029,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01031,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01033,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01035,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01037,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01039,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01041,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01043,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01045,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01047,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01049,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01051,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01053,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01055,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01057,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01059,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01061,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01063,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01065,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01067,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01069,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01071,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01073,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01075,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01077,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01079,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01081,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01083,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01085,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01087,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01089,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01091,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01093,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01095,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01097,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01099,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01101,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01103,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01105,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01107,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01109,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01111,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01113,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01115,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01117,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01119,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01121,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01123,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01125,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01127,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01129,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01131,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01133,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
04001,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04003,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04005,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04007,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04009,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04011,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04012,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04013,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04015,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04017,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04019,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04021,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04023,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04025,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04027,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
05001,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05003,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
