fips,2013,2018,2023
01,32.95,42.37,54.22
01001,407.61,495.9,55.52
01003,407.61,495.9,55.52
01005,407.61,495.9,55.52
01007,407.61,495.9,55.52
01009,407.61,495.9,55.52
01011,407.61,495.9,55.52
01013,407.61,495.9,55.52
01015,407.61,495.9,55.52
01017,407.61,495.9,55.52
01019,407.61,495.9,55.52
01021,407.61,495.9,55.52
01023,407.61,495.9,55.52
01025,407.61,495.9,55.52
01027,407.61,495.9,55.52
01029,407.61,495.9,55.52
01031,407.61,495.9,55.52
01033,407.61,495.9,55.52
01035,407.61,495.9,55.52
01037,407.61,495.9,55.52
01039,407.61,495.9,55.52
01041,407.61,495.9,55.52
01043,407.61,495.9,55.52
01045,407.61,495.9,55.52
01047,407.61,495.9,55.52
01049,407.61,495.9,55.52
01051,407.61,495.9,55.52
01053,407.61,495.9,55.52
01055,407.61,495.9,55.52
01057,407.61,495.9,55.52
01059,407.61,495.9,55.52
01061,407.61,495.9,55.52
01063,407.61,495.9,55.52
01065,407.61,495.9,55.52
01067,407.61,495.9,55.52
01069,407.61,495.9,55.52
01071,407.61,495.9,55.52
01073,407.61,495.9,55.52
01075,407.61,495.9,55.52
01077,407.61,495.9,55.52
01079,407.61,495.9,55.52
01081,407.61,495.9,55.52
01083,407.61,495.9,55.52
01085,407.61,495.9,55.52
01087,407.61,495.9,55.52
01089,407.61,495.9,55.52
01091,407.61,495.9,55.52
01093,407.61,495.9,55.52
01095,407.61,495.9,55.52
01097,407.61,495.9,55.52
01099,407.61,495.9,55.52
01101,407.61,495.9,55.52
01103,407.61,495.9,55.52
01105,407.61,495.9,55.52
01107,407.61,495.9,55.52
01109,407.61,495.9,55.52
01111,407.61,495.9,55.52
01113,407.61,495.9,55.52
01115,407.61,495.9,55.52
01117,407.61,495.9,55.52
01119,407.61,495.9,55.52
01121,407.61,495.9,55.52
01123,407.61,495.9,55.52
01125,407.61,495.9,55.52
01127,407.61,495.9,55.52
01129,407.61,495.9,55.52
01131,407.61,495.9,55.52
01133,407.61,495.9,55.52
04001,29.43,30.18,37.57
04003,29.43,30.18,37.57
04005,29.43,30.18,37.57
04007,29.43,30.18,37.57
04009,29.43,30.18,37.57
04011,29.43,30.18,37.57
04012,29.43,30.18,37.57
04013,29.43,30.18,37.57
04015,29.43,30.18,37.57
04017,29.43,30.18,37.57
04019,29.43,30.18,37.57
04021,29.43,30.18,37.57
04023,29.43,30.18,37.57
04025,29.43,30.18,37.57
04027,29.43,30.18,37.57
05001,27.52,49.62,27.24
05003,27.52,49.62,27.24
05005,27.52,49.62,27.24
05007,27.52,49.62,27.24
05009,27.52,49.62,27.24
05011,27.52,49.62,27.24
05013,27.52,49.62,27.24
05015,27.52,49.62,27.24
05017,27.52,49.62,27.24
05019,27.52,49.62,27.24
05021,27.52,49.62,27.24
05023,27.52,49.62,27.24
05025,27.52,49.62,27.24
05027,27.52,49.62,27.24
05029,27.52,49.62,27.24
05031,27.52,49.62,27.24
05033,27.52,49.62,27.24
05035,27.52,49.62,27.24
05037,27.52,49.62,27.24
05039,27.52,49.62,27.24
05041,27.52,49.62,27.24
05043,27.52,49.62,27.24
05045,27.52,49.62,27.24
05047,27.52,49.62,27.24
05049,27.52,49.62,27.24
05051,27.52,49.62,27.24
05053,27.52,49.62,27.24
05055,27.52,49.62,27.24
05057,27.52,49.62,27.24
05059,27.52,49.62,27.24
05061,27.52,49.62,27.24
05063,27.52,49.62,27.24
05065,27.52,49.62,27.24
05067,27.52,49.62,27.24
05069,27.52,49.62,27.24
05071,27.52,49.62,27.24
05073,27.52,49.62,27.24
05075,27.52,49.62,27.24
05077,27.52,49.62,27.24
05079,27.52,49.62,27.24
05081,27.52,49.62,27.24
05083,27.52,49.62,27.24
05085,27.52,49.62,27.24
05087,27.52,49.62,27.24
05089,27.52,49.62,27.24
05091,27.52,49.62,27.24
05093,27.52,49.62,27.24
05095,27.52,49.62,27.24
05097,27.52,49.62,27.24
05099,27.52,49.62,27.24
05101,27.52,49.62,27.24
05103,27.52,49.62,27.24
05105,27.52,49.62,27.24
05107,27.52,49.62,27.24
05109,27.52,49.62,27.24
05111,27.52,49.62,27.24
05113,27.52,49.62,27.24
05115,27.52,49.62,27.24
05117,27.52,49.62,27.24
05119,27.52,49.62,27.24
05121,27.52,49.62,27.24
05123,27.52,49.62,27.24
05125,27.52,49.62,27.24
05127,27.52,49.62,27.24
05129,27.52,49.62,27.24
05131,27.52,49.62,27.24
05133,27.52,49.62,27.24
05135,27.52,49.62,27.24
05137,27.52,49.62,27.24
05139,27.52,49.62,27.24
05141,27.52,49.62,27.24
05143,27.52,49.62,27.24
05145,27.52,49.62,27.24
05147,27.52,49.62,27.24
05149,27.52,49.62,27.24
06001,45.59,67.97,71.98
06003,45.59,67.97,71.98
06005,45.59,67.97,71.98
06007,45.59,67.97,71.98
06009,45.59,67.97,71.98
06011,45.59,67.97,71.98
06013,45.59,67.97,71.98
06015,45.59,67.97,71.98
06017,45.59,67.97,71.98
06019,45.59,67.97,71.98
06021,45.59,67.97,71.98
06023,45.59,67.97,71.98
06025,45.59,67.97,71.98
06027,45.59,67.97,71.98
06029,45.59,67.97,71.98
06031,45.59,67.97,71.98
06033,45.59,67.97,71.98
06035,45.59,67.97,71.98
06037,45.59,67.97,71.98
06039,45.59,67.97,71.98
06041,45.59,67.97,71.98
06043,45.59,67.97,71.98
06045,45.59,67.97,71.98
06047,45.59,67.97,71.98
06049,45.59,67.97,71.98
06051,45.59,67.97,71.98
06053,45.59,67.97,71.98
06055,45.59,67.97,71.98
06057,45.59,67.97,71.98
06059,45.59,67.97,71.98
06061,45.59,67.97,71.98
06063,45.59,67.97,71.98
06065,45.59,67.97,71.98
06067,45.59,67.97,71.98
06069,45.59,67.97,71.98
06071,45.59,67.97,71.98
06073,45.59,67.97,71.98
06075,45.59,67.97,71.98
06077,45.59,67.97,71.98
06079,45.59,67.97,71.98
06081,45.59,67.97,71.98
06083,45.59,67.97,71.98
06085,45.59,67.97,71.98
